,Name,Type,Rent,Size,Link
0,DEFENCE PHASE 6 KH E BUKHARI 1ST FLOOR PORTION FOR RENT,Upper Portion,1.75 Lakh,500 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_6_defence_phase_6_kh_e_bukhari_1st_floor_portion_for_rent-49687737-1483-4.html
1,"""Experience Unmatched Luxury: Exquisite Emaar Penthouse in Reef Tower 1, Available for Rent""",Penthouse,4.25 Lakh,411 Sq. Yd.,https://www.zameen.com/Property/emaar_crescent_bay_emaar_reef_towers_experience_unmatched_luxury_exquisite_emaar_penthouse_in_reef_tower_1_available_for_rent-48916968-10720-4.html
2,"Bungalow For Rent In DHA Phase 2 Extension , Karachi",House,3.5 Lakh,520 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_2_extension_bungalow_for_rent_in_dha_phase_2_extension_karachi-49329830-1672-4.html
3,FULLY RENOVATED BUNGALOW AVAILABLE FOR RENT IN PHASE 5,House,3.5 Lakh,550 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_5_fully_renovated_bungalow_available_for_rent_in_phase_5-48922026-1482-4.html
4,Exclusive Rental Opportunity: Luxurious 5 Bedroom Bungalow In DHA Phase 6 For Multinational Corporation Bankers,House,5 Lakh,500 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_6_exclusive_rental_opportunity_luxurious_5_bedroom_bungalow_in_dha_phase_6_for_multinational_corporation_bankers-48924158-1483-4.html
5,"Luxurious 500-Yard Bungalow For Rent In Silent Location, DHA Defence ,Karachi",House,3 Lakh,500 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_5_luxurious_500-yard_bungalow_for_rent_in_silent_location_dha_defence_karachi-48931738-1482-4.html
6,"Bungalow 500 SQ. Yards Available, Bukhari Street Phase VI DHA Karachi, Sindh",House,2.7 Lakh,450 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_6_bungalow_500_sq_yards_available_bukhari_street_phase_vi_dha_karachi_sindh-48932545-1483-4.html
7,"LIKE NEW PORTION AVAILABLE FOR RENT PHASE 8, Karachi",Upper Portion,1.7 Lakh,500 Sq. Yd.,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_zone_a_like_new_portion_available_for_rent_phase_8_karachi-49155253-6677-4.html
8,"500 Yard Bungalow Portion For Rent DHA Phase 5,Karachi",Upper Portion,1.8 Lakh,500 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_5_500_yard_bungalow_portion_for_rent_dha_phase_5_karachi-49308883-1482-4.html
9,500 yard bungalow portion DHA phase 7,Upper Portion,1.6 Lakh,500 Sq. Yd.,https://www.zameen.com/Property/dha_defence_dha_phase_7_500_yard_bungalow_portion_dha_phase_7-49541509-1484-4.html
